,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
theta[96],0.015,0.011,0.0,0.035,0.0,0.0,23402.0,13707.0,30533.0,11494.0,1.0
theta[97],0.003,0.003,0.0,0.009,0.0,0.0,17312.0,11170.0,30508.0,11518.0,1.0
theta[98],0.999,0.001,0.997,1.0,0.0,0.0,14732.0,14732.0,28309.0,11141.0,1.0
theta[99],0.994,0.006,0.983,1.0,0.0,0.0,19306.0,19306.0,28481.0,11084.0,1.0
theta[100],0.951,0.026,0.903,0.993,0.0,0.0,27759.0,27759.0,29044.0,11120.0,1.0
theta[101],0.499,0.056,0.398,0.61,0.0,0.0,33892.0,33294.0,33982.0,11244.0,1.0
theta[102],0.049,0.029,0.004,0.102,0.0,0.0,29732.0,18390.0,29382.0,10610.0,1.0
theta[103],0.006,0.007,0.0,0.018,0.0,0.0,19620.0,12160.0,29097.0,10633.0,1.0
theta[104],0.001,0.002,0.0,0.003,0.0,0.0,14307.0,12118.0,28979.0,10655.0,1.0
theta[105],0.999,0.001,0.997,1.0,0.0,0.0,14103.0,14103.0,25969.0,10069.0,1.0
theta[106],0.995,0.006,0.984,1.0,0.0,0.0,18594.0,18594.0,25916.0,10148.0,1.0
theta[107],0.955,0.026,0.909,0.997,0.0,0.0,25925.0,25925.0,25777.0,10424.0,1.0
theta[108],0.537,0.053,0.433,0.632,0.0,0.0,28616.0,28243.0,28627.0,11009.0,1.0
theta[109],0.069,0.031,0.014,0.126,0.0,0.0,31076.0,20165.0,32010.0,10716.0,1.0
theta[110],0.01,0.009,0.0,0.026,0.0,0.0,21437.0,12517.0,31681.0,10471.0,1.0
theta[111],0.002,0.002,0.0,0.006,0.0,0.0,15464.0,11310.0,31535.0,10286.0,1.0
theta[112],0.985,0.01,0.968,0.999,0.0,0.0,22321.0,22321.0,31041.0,11248.0,1.0
theta[113],0.953,0.02,0.916,0.988,0.0,0.0,27132.0,27132.0,30979.0,11104.0,1.0
theta[114],0.851,0.037,0.782,0.919,0.0,0.0,30494.0,30494.0,30749.0,10891.0,1.0
theta[115],0.503,0.042,0.426,0.584,0.0,0.0,29167.0,28874.0,29168.0,11705.0,1.0
theta[116],0.153,0.039,0.08,0.224,0.0,0.0,29568.0,25760.0,29343.0,11052.0,1.0
theta[117],0.049,0.022,0.013,0.089,0.0,0.0,27347.0,19049.0,29449.0,11507.0,1.0
theta[118],0.016,0.01,0.001,0.035,0.0,0.0,23413.0,14801.0,29491.0,11641.0,1.0
mu_C[0],61.035,3.287,54.944,67.202,0.024,0.017,18347.0,17985.0,18842.0,11551.0,1.0
mu_wp[0],0.51,0.011,0.49,0.532,0.0,0.0,31436.0,31436.0,31502.0,12592.0,1.0
sd_C[0],34.465,5.104,25.467,44.077,0.05,0.038,10482.0,9261.0,12504.0,7972.0,1.0
sd_wp[0],0.057,0.009,0.041,0.074,0.0,0.0,9563.0,9365.0,9642.0,11147.0,1.0
